model,eq_oracle,cop,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
./TLS/mbedtls/2.7.8/TLS12/learnedModel.dot,randomWp,72,500000,6,True,132,483,214,1614
./TLS/mbedtls/3.0.0p1/TLS12/learnedModel.dot,randomWp,99,500000,8,True,195,765,25,205
./TLS/mbedtls/2.1.5/TLS12/learnedModel.dot,randomWp,81,500000,6,True,237,889,722,5869
./TLS/mbedtls/1.3.3/TLS12/learnedModel.dot,randomWp,18,500000,6,True,209,849,1115,8693
./TLS/openssl/0.9.8a/TLS10/learnedModel.dot,randomWp,33,500000,14,True,231,1055,19090,184928
./TLS/openssl/1.0.2m/TLS12/learnedModel.dot,randomWp,27,500000,8,True,133,643,1495,12574
./TLS/openssl/1.0.2d/TLS12/learnedModel.dot,randomWp,39,500000,10,True,206,924,3203,29071
./TLS/openssl/1.1.0a/TLS12/learnedModel.dot,randomWp,39,500000,8,True,101,442,10997,96550
./TLS/openssl/1.0.1r/TLS12/learnedModel.dot,randomWp,33,500000,11,True,182,850,15736,143091
./TLS/openssl/1.1.1g/TLS12/learnedModel.dot,randomWp,24,500000,8,True,116,494,11101,97205
./TLS/openssl/0.9.8zh/TLS10/learnedModel.dot,randomWp,15,500000,11,True,167,722,1477,12593
./TLS/openssl/1.0.1/TLS12/learnedModel.dot,randomWp,8,500000,13,True,302,1404,591,5299
./TLS/openssl/1.0.1/TLS10/learnedModel.dot,randomWp,11,500000,14,True,248,1183,4160,38989
./TLS/openssl/0.9.7d/TLS10/learnedModel.dot,randomWp,5,500000,11,False,289,1373,503057,4900551
./TLS/openssl/1.0.0p/TLS10/learnedModel.dot,randomWp,5,500000,11,True,212,868,1446,12919
./TLS/openssl/0.9.8y/TLS10/learnedModel.dot,randomWp,13,500000,14,True,231,1133,44525,430244
./TLS/openssl/0.9.8l/TLS10/learnedModel.dot,randomWp,1,500000,10,True,192,774,166,1281
./TLS/openssl/1.0.0m/TLS10/learnedModel.dot,randomWp,5,500000,13,True,253,1164,1836,17197
