model,eq_oracle,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
BitVise63,randomWp,500000,63,True,2470,23667,117227,1544686
BitVise47,randomWp,500000,47,True,1664,16133,10256,124640
OpenSSHOrig,randomWp,500000,27,True,824,5137,6301,66750
OpenSSH29,randomWp,500000,29,True,834,6346,45711,495050
DropBearOrig,randomWp,500000,17,True,590,3634,834,7604
OpenSSH34,randomWp,500000,34,True,1024,6700,7105,69571
OpenSSH36,randomWp,500000,36,True,1030,7254,156251,1629622
DropBear24,randomWp,500000,24,True,707,3197,77,704
BitVise59,randomWp,500000,59,True,2244,23939,84464,1102625
OpenSSH31,randomWp,500000,31,True,875,4788,38031,382145
BitVise45,randomWp,500000,45,True,1499,15017,6258,77930
DropBear20,randomWp,500000,20,True,645,3465,723,6936
DropBear26,randomWp,500000,26,True,799,3511,811,7317
DropBear22,randomWp,500000,22,True,703,3184,501,4547
OpenSSH26,randomWp,500000,26,True,745,4523,21494,223038
BitVise54,randomWp,500000,54,True,2084,20164,47899,630498
BitVise39,randomWp,500000,39,True,1442,9830,17395,182497
OpenSSH28,randomWp,500000,28,True,855,4546,5852,58312
BitVise57,randomWp,500000,57,True,2116,19488,175157,2227951
BitViseOrig,randomWp,500000,66,True,2722,33201,99058,1299810
BitVise63,randomWp,500000,63,True,2382,23629,97974,1294753
BitVise47,randomWp,500000,47,True,1623,19509,2659,31763
OpenSSHOrig,randomWp,500000,27,True,830,5105,8872,95401
OpenSSH29,randomWp,500000,29,True,835,5551,15833,171104
DropBearOrig,randomWp,500000,17,True,525,3184,812,8214
OpenSSH34,randomWp,500000,34,True,1010,5233,33528,327360
OpenSSH36,randomWp,500000,36,True,1065,6531,92331,963249
DropBear24,randomWp,500000,24,True,718,3556,201,1810
BitVise59,randomWp,500000,59,True,2238,23587,306885,4046720
OpenSSH31,randomWp,500000,31,True,910,5229,139728,1406098
BitVise45,randomWp,500000,45,True,1499,15715,21856,289228
DropBear20,randomWp,500000,20,True,626,3038,332,3188
DropBear26,randomWp,500000,26,True,784,3577,656,5844
DropBear22,randomWp,500000,22,True,664,3292,403,3437
OpenSSH26,randomWp,500000,26,True,732,4572,19323,200087
BitVise54,randomWp,500000,54,True,2032,23291,17150,225227
BitVise39,randomWp,500000,39,True,1405,8703,8112,86146
OpenSSH28,randomWp,500000,28,True,800,4562,17884,178790
BitVise57,randomWp,500000,57,True,2114,18635,125065,1591280
BitViseOrig,randomWp,500000,66,True,2531,25284,120260,1618643
BitVise63,randomWp,500000,63,True,2402,23093,30101,390802
BitVise47,randomWp,500000,47,True,1675,12899,9447,109936
OpenSSHOrig,randomWp,500000,27,True,800,4872,4136,43223
OpenSSH29,randomWp,500000,29,True,835,5334,84635,915750
DropBearOrig,randomWp,500000,17,True,551,3275,706,7203
OpenSSH34,randomWp,500000,34,True,946,5653,15947,157541
OpenSSH36,randomWp,500000,36,True,1070,6819,22830,237181
DropBear24,randomWp,500000,24,True,734,3397,742,6794
BitVise59,randomWp,500000,59,True,2322,31176,52686,688004
OpenSSH31,randomWp,500000,31,True,889,4889,45475,456890
BitVise45,randomWp,500000,45,True,1615,20260,6877,89129
DropBear20,randomWp,500000,20,True,619,3581,779,6769
DropBear26,randomWp,500000,26,True,867,4362,299,2671
DropBear22,randomWp,500000,22,True,627,2846,3387,31507
OpenSSH26,randomWp,500000,26,True,756,4431,33935,357301
BitVise54,randomWp,500000,54,True,2027,20453,10100,132045
BitVise39,randomWp,500000,39,True,1346,8556,3016,32087
OpenSSH28,randomWp,500000,28,True,832,4518,11716,117997
BitVise57,randomWp,500000,57,True,2089,21158,78347,1002407
BitViseOrig,randomWp,500000,66,True,2661,32123,153527,2096103
BitVise63,randomWp,500000,63,True,2489,25055,86464,1139244
BitVise47,randomWp,500000,47,True,1606,14124,10274,123031
OpenSSHOrig,randomWp,500000,27,True,876,5382,14674,156830
OpenSSH29,randomWp,500000,29,True,864,7482,322224,3491475
DropBearOrig,randomWp,500000,17,True,544,3265,1013,10455
OpenSSH34,randomWp,500000,34,True,1046,6051,5589,55185
OpenSSH36,randomWp,500000,36,True,1021,6736,59431,620209
DropBear24,randomWp,500000,24,True,790,4001,62,574
BitVise59,randomWp,500000,59,True,2279,23209,133888,1763488
