method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),b
IF-AL#,RandomWp500,RandomWp500,adg,294,1418,1202737,11387503,492205,4791287,0,7,82,27,None
IF-AL#,RandomWp25,RandomWp25,adg,315,1615,61546,549637,80558,643303,0,12,51,32,None
IF-AL#,RandomWp50,RandomWp50,adg,328,1338,111706,970326,120935,1022724,0,14,43,34,None
IF-AL#,RandomWp100,RandomWp100,adg,304,1425,237743,2144607,175040,1584090,0,13,64,33,None
IF-AL#,RandomWp500,RandomWp500,adg,346,1412,1213168,11691283,465038,4498206,0,6,87,26,None
IF-AL#,RandomWp500,RandomWp500,adg,314,1388,1174582,11083759,455223,4287328,0,6,80,26,None
IF-AL#,RandomWp25,RandomWp25,adg,292,1481,58288,512458,92989,743421,0,16,31,36,None
IF-AL#,RandomWp50,RandomWp50,adg,264,1378,121382,1082630,110693,935962,0,12,44,32,None
IF-AL#,RandomWp100,RandomWp100,adg,320,1389,242438,2195513,156189,1393662,0,9,68,29,None
IF-AL#,RandomWp500,RandomWp500,adg,336,1440,1221518,11769108,446681,4259973,0,5,88,25,None
IF-AL#,RandomWp500,RandomWp500,adg,329,1451,1201542,11510039,471083,4668071,0,5,78,25,None
IF-AL#,RandomWp25,RandomWp25,adg,265,1205,61637,541974,76372,606642,0,9,46,29,None
IF-AL#,RandomWp50,RandomWp50,adg,317,1437,122522,1107065,111206,937988,0,12,60,32,None
IF-AL#,RandomWp100,RandomWp100,adg,293,1474,246406,2219017,154344,1399362,0,9,57,29,None
IF-AL#,RandomWp500,RandomWp500,adg,383,1371,1248555,12071727,417781,4003119,0,3,92,23,None
IF-AL#,RandomWp500,RandomWp500,adg,396,1454,1239272,11895328,444540,4365036,0,4,90,24,None
IF-AL#,RandomWp25,RandomWp25,adg,363,1497,58564,513019,87631,695354,0,14,45,34,None
IF-AL#,RandomWp50,RandomWp50,adg,249,1194,125229,1116451,100502,842978,0,9,46,29,None
IF-AL#,RandomWp100,RandomWp100,adg,267,1460,233439,2115611,179575,1627955,0,13,65,33,None
IF-AL#,RandomWp500,RandomWp500,adg,312,1388,1182282,11215090,506308,4944192,0,8,80,28,None
IF-AL#,RandomWp500,RandomWp500,adg,360,1412,1157708,10832329,526160,5145801,0,9,78,29,None
IF-AL#,RandomWp25,RandomWp25,adg,299,1421,57293,505007,95782,769612,0,16,40,36,None
IF-AL#,RandomWp50,RandomWp50,adg,350,1413,115998,1032828,117045,993219,0,15,39,35,None
IF-AL#,RandomWp100,RandomWp100,adg,281,1409,248261,2254883,146838,1282770,0,8,50,28,None
IF-AL#,RandomWp500,RandomWp500,adg,336,1372,1170824,11109579,529145,5219680,0,9,87,29,None
IF-AL#,RandomWp500,RandomWp500,adg,363,1313,1256912,12230097,416270,3923541,0,4,91,24,None
IF-AL#,RandomWp25,RandomWp25,adg,304,1504,58459,518684,102139,826154,0,19,50,39,None
IF-AL#,RandomWp50,RandomWp50,adg,260,1480,120911,1082125,117665,1000891,0,14,55,34,None
IF-AL#,RandomWp100,RandomWp100,adg,333,1393,243899,2203148,150906,1332881,0,10,60,30,None
IF-AL#,RandomWp500,RandomWp500,adg,376,1338,1256195,12134299,396530,3796091,0,2,89,22,None
IF-AL#,RandomWp500,RandomWp500,adg,352,1317,1222445,11707357,437270,4179672,0,5,88,25,None
IF-AL#,RandomWp25,RandomWp25,adg,335,1507,56790,497619,99546,799814,0,19,54,39,None
IF-AL#,RandomWp50,RandomWp50,adg,296,1250,126627,1130032,104653,897364,0,10,50,30,None
IF-AL#,RandomWp100,RandomWp100,adg,279,1429,244304,2213562,156709,1412690,0,10,66,30,None
IF-AL#,RandomWp500,RandomWp500,adg,338,1379,1169369,11056492,506965,5056715,0,6,93,26,None
IF-AL#,RandomWp500,RandomWp500,adg,373,1308,1268373,12279212,389249,3685603,0,2,87,22,None
IF-AL#,RandomWp25,RandomWp25,adg,348,1503,56885,500235,92837,731741,0,18,49,38,None
IF-AL#,RandomWp50,RandomWp50,adg,279,1323,107630,954624,138466,1164790,0,22,49,42,None
IF-AL#,RandomWp100,RandomWp100,adg,340,1458,245469,2227113,154724,1373201,0,10,55,30,None
IF-AL#,RandomWp500,RandomWp500,adg,373,1333,1252439,12056573,406403,3935157,0,2,88,22,None
IF-AL#,RandomWp500,RandomWp500,adg,333,1403,1212448,11691204,482746,4658714,0,7,92,27,None
IF-AL#,RandomWp25,RandomWp25,adg,293,1487,53975,463200,103308,831268,0,18,41,38,None
IF-AL#,RandomWp50,RandomWp50,adg,316,1433,119296,1059911,120348,1020981,0,16,55,36,None
IF-AL#,RandomWp100,RandomWp100,adg,257,1358,251494,2269449,150020,1354202,0,8,65,28,None
